"time","FLOW","TEMP","SALT","OXY_oxy","CAR_dic","CAR_pH","CAR_ch4","SIL_rsi","NIT_amm","NIT_nit","PHS_frp","OGM_doc","OGM_poc","OGM_don","OGM_pon","OGM_dop","OGM_pop","OGM_docr","OGM_donr","OGM_dopr","OGM_cpom","PHY_cyano","PHY_cyano_IN","PHY_cyano_IP","PHY_green","PHY_green_IN","PHY_green_IP","PHY_diatom","PHY_diatom_IN","PHY_diatom_IP"
2013-05-15,1e-08,7.84734375,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-16,1e-08,7.97243414634146,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-17,1e-08,8.10410091707317,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-18,1e-08,8.23576768780488,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-19,1e-08,8.36743445853659,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-20,1e-08,8.49910122926829,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-21,1e-08,8.630768,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-22,1e-08,8.66417427777778,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-23,1e-08,8.69758055555556,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-24,1e-08,8.76841130952381,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
